DAUID,db_pop_total,db_pop_valid,n_unique_parks,area_raw,area_cap20,area_cap10,qty_raw,qty_cap20,qty_cap10
59150415,807,807,2,8.24,8.24,8.24,10.2161,10.2161,10.2161
59150416,597,597,2,7.39,7.39,7.39,12.3712,12.3712,12.3712
59150417,539,539,1,5.77,5.77,5.77,10.7019,10.7019,10.7019
59150419,452,452,1,1.62,1.62,1.62,3.5781,3.5781,3.5781
59150420,530,530,1,1.39,1.39,1.39,2.6165,2.6165,2.6165
59150421,630,630,1,1.39,1.39,1.39,2.2012,2.2012,2.2012
59150422,896,896,2,28.78,21.39,11.39,32.1203,23.8691,12.7084
59150423,514,514,1,1.39,1.39,1.39,2.6979,2.6979,2.6979
59150424,883,883,2,28.78,21.39,11.39,32.5932,24.2205,12.8955
59150425,414,414,1,27.39,20.0,10.0,66.1667,48.3092,24.1546
59150426,685,685,2,31.69,24.3,14.3,46.2652,35.4725,20.8739
59150427,553,553,1,4.45,4.45,4.45,8.039,8.039,8.039
59150428,600,600,1,4.45,4.45,4.45,7.4093,7.4093,7.4093
59150429,574,574,1,4.45,4.45,4.45,7.7449,7.7449,7.7449
59150430,524,524,0,0.0,0.0,0.0,0.0,0.0,0.0
59150431,632,632,1,6.14,6.14,6.14,9.7198,9.7198,9.7198
59150432,858,858,2,10.36,10.36,10.36,12.0722,12.0722,12.0722
59150433,466,466,2,6.38,6.38,6.38,13.6879,13.6879,13.6879
59150434,494,494,2,6.38,6.38,6.38,12.9121,12.9121,12.9121
59150435,560,560,1,2.16,2.16,2.16,3.8634,3.8634,3.8634
59150436,873,873,3,8.65,8.65,8.65,9.908,9.908,9.908
59150437,1212,1212,1,2.27,2.27,2.27,1.8739,1.8739,1.8739
59150438,857,857,1,2.27,2.27,2.27,2.6501,2.6501,2.6501
59150439,483,483,2,3.86,3.86,3.86,7.9908,7.9908,7.9908
59150440,682,682,1,2.27,2.27,2.27,3.3302,3.3302,3.3302
59150442,668,668,2,3.86,3.86,3.86,5.7778,5.7778,5.7778
59150443,790,790,2,3.86,3.86,3.86,4.8855,4.8855,4.8855
59150444,737,737,2,14.99,14.99,11.59,20.3349,20.3349,15.7237
59150445,633,633,2,16.32,16.32,12.92,25.7796,25.7796,20.4109
59150446,544,544,2,16.32,16.32,12.92,29.9972,29.9972,23.7502
59150447,826,826,1,13.4,13.4,10.0,16.2208,16.2208,12.1065
59150448,668,668,0,0.0,0.0,0.0,0.0,0.0,0.0
59150449,739,739,0,0.0,0.0,0.0,0.0,0.0,0.0
59150450,627,627,0,0.0,0.0,0.0,0.0,0.0,0.0
59150451,501,501,2,4.31,4.31,4.31,8.596,8.596,8.596
59150452,420,420,2,4.31,4.31,4.31,10.2538,10.2538,10.2538
