park_id,source,park_name,area_ha,place_id,match_flag,notes,place_id_list,in_file06,in_neither
Vancouver_58,Vancouver,Cariboo Park,0.7686569135310117,ChIJ7U-FfOp2hlQRNtM0uW9ApMc,exact,,['ChIJ7U-FfOp2hlQRNtM0uW9ApMc'],True,False
Vancouver_59,Vancouver,Renfrew Ravine Park,6.142911707986188,ChIJJc32Trl2hlQR8l9XDVPjlFM,exact,,['ChIJJc32Trl2hlQR8l9XDVPjlFM'],True,False
Vancouver_60,Vancouver,Renfrew Community Park,5.015662018149384,ChIJGxBSE8h2hlQREGZuQbBmLk4,exact,,['ChIJGxBSE8h2hlQREGZuQbBmLk4'],True,False
Vancouver_61,Vancouver,John Hendry (Trout Lake) Park,27.39301499480162,ChIJNTdgR7N2hlQRsGx3wkOQ0sk,exact,,['ChIJNTdgR7N2hlQRsGx3wkOQ0sk'],True,False
Vancouver_62,Vancouver,Beaconsfield Park,4.445567960476784,ChIJBzAe6bV2hlQRzPY-vJUxr-s,exact,,['ChIJBzAe6bV2hlQRzPY-vJUxr-s'],True,False
Vancouver_63,Vancouver,Falaise Park,7.589311685737394,ChIJmWmNzdp2hlQRWjnSYGKO9j8,exact,,['ChIJmWmNzdp2hlQRWjnSYGKO9j8'],True,False
Vancouver_64,Vancouver,Kaslo Park,0.4472390009223489,ChIJfecbAzNxhlQRuPoXxBEQCio,exact,,['ChIJfecbAzNxhlQRuPoXxBEQCio'],True,False
Vancouver_65,Vancouver,Sunrise Park,3.18610429517952,ChIJM2LXoixxhlQR6cOFWdWtq4w,exact,,['ChIJM2LXoixxhlQR6cOFWdWtq4w'],True,False
Vancouver_66,Vancouver,Garden Park,0.9699779331201226,ChIJZ13eaDdxhlQR4XCkXOKSOAU,exact,,['ChIJZ13eaDdxhlQR4XCkXOKSOAU'],True,False
Vancouver_67,Vancouver,Thunderbird Park,0.8950338277748151,ChIJdY0tlipxhlQRGfacJ8at8O4,exact,,['ChIJdY0tlipxhlQRGfacJ8at8O4'],True,False
Vancouver_68,Vancouver,Clinton Park,3.0522401919037216,ChIJu9PyFjBxhlQRcu77PZFWKM0,exact,,['ChIJu9PyFjBxhlQRcu77PZFWKM0'],True,False
Vancouver_69,Vancouver,Rupert Park,11.837228233496882,ChIJVVQ1MipxhlQRJzWpvSkLUvs,exact,,['ChIJVVQ1MipxhlQRJzWpvSkLUvs'],True,False
Vancouver_70,Vancouver,Charles Park,1.5422343147649853,ChIJyRYm0NVwhlQRhx_safq7qa8,exact,,['ChIJyRYm0NVwhlQRhx_safq7qa8'],True,False
Vancouver_71,Vancouver,Templeton Park,1.9329342746641145,ChIJKcr50CJxhlQRAfbaI6BCHD4,exact,,['ChIJKcr50CJxhlQRAfbaI6BCHD4'],True,False
Vancouver_72,Vancouver,Hastings Community Park,4.2008387179504165,ChIJ7a4QtdhwhlQRJG5RiFTWPe4,exact,,['ChIJ7a4QtdhwhlQRJG5RiFTWPe4'],True,False
Vancouver_73,Vancouver,Victoria Park,0.8905987372733684,ChIJFZRR0DhxhlQRx0NrqkpG4x4,exact,,['ChIJFZRR0DhxhlQRx0NrqkpG4x4'],True,False
