DAUID,db_count,db_pop_total,db_pop_reach_400,db_pop_reach_800,DA_reach_400,DA_reach_800
59150503,2.0,592.0,592.0,592.0,1.0,1.0
59150504,6.0,1080.0,1080.0,1080.0,1.0,1.0
59150505,5.0,662.0,351.0,662.0,0.5302114803625377,1.0
59150506,3.0,344.0,344.0,344.0,1.0,1.0
59150507,6.0,522.0,390.0,522.0,0.7471264367816092,1.0
59150508,4.0,494.0,244.0,494.0,0.4939271255060729,1.0
59150509,7.0,463.0,267.0,463.0,0.5766738660907127,1.0
59150510,7.0,453.0,0.0,183.0,0.0,0.40397350993377484
59150511,3.0,1181.0,0.0,1181.0,0.0,1.0
59150512,6.0,507.0,0.0,151.0,0.0,0.2978303747534517
59150513,9.0,502.0,0.0,158.0,0.0,0.3147410358565737
59150514,10.0,587.0,0.0,231.0,0.0,0.393526405451448
59150515,4.0,380.0,0.0,188.0,0.0,0.49473684210526314
59150516,7.0,471.0,0.0,471.0,0.0,1.0
59150517,4.0,410.0,144.0,410.0,0.35121951219512193,1.0
59150518,5.0,428.0,236.0,428.0,0.5514018691588785,1.0
59150519,3.0,853.0,853.0,853.0,1.0,1.0
59150520,2.0,1036.0,1036.0,1036.0,1.0,1.0
59150521,7.0,637.0,637.0,637.0,1.0,1.0
59150522,7.0,645.0,362.0,645.0,0.5612403100775194,1.0
59150523,7.0,694.0,438.0,694.0,0.6311239193083573,1.0
59150524,5.0,541.0,0.0,541.0,0.0,1.0
59150526,5.0,571.0,474.0,571.0,0.830122591943958,1.0
59150527,4.0,718.0,718.0,718.0,1.0,1.0
59150529,5.0,562.0,562.0,562.0,1.0,1.0
59150530,2.0,544.0,544.0,544.0,1.0,1.0
59150531,5.0,783.0,639.0,783.0,0.8160919540229885,1.0
59150534,8.0,521.0,158.0,521.0,0.30326295585412666,1.0
59150535,6.0,641.0,416.0,641.0,0.6489859594383776,1.0
59150536,2.0,517.0,517.0,517.0,1.0,1.0
59150537,3.0,560.0,368.0,560.0,0.6571428571428571,1.0
59150538,4.0,677.0,377.0,677.0,0.5568685376661743,1.0
59150539,6.0,484.0,484.0,484.0,1.0,1.0
59150540,7.0,630.0,474.0,630.0,0.7523809523809524,1.0
59150541,12.0,787.0,787.0,787.0,1.0,1.0
59150542,5.0,528.0,407.0,528.0,0.7708333333333334,1.0
59150543,8.0,1525.0,985.0,1525.0,0.6459016393442623,1.0
59150544,1.0,787.0,787.0,787.0,1.0,1.0
59150545,10.0,931.0,655.0,931.0,0.7035445757250268,1.0
59150546,5.0,733.0,0.0,733.0,0.0,1.0
59150547,1.0,528.0,528.0,528.0,1.0,1.0
59150548,4.0,352.0,254.0,352.0,0.7215909090909091,1.0
59150549,6.0,457.0,371.0,457.0,0.811816192560175,1.0
59150550,6.0,641.0,641.0,641.0,1.0,1.0
59150551,8.0,476.0,364.0,476.0,0.7647058823529411,1.0
59150552,8.0,437.0,0.0,409.0,0.0,0.9359267734553776
59150553,13.0,551.0,0.0,252.0,0.0,0.4573502722323049
59150554,9.0,483.0,0.0,45.0,0.0,0.09316770186335403
59150555,8.0,610.0,218.0,560.0,0.35737704918032787,0.9180327868852459
59150556,7.0,865.0,865.0,865.0,1.0,1.0
59150557,8.0,602.0,0.0,416.0,0.0,0.6910299003322259
59150558,3.0,544.0,544.0,544.0,1.0,1.0
59150559,4.0,611.0,472.0,611.0,0.7725040916530278,1.0
59150560,6.0,562.0,367.0,562.0,0.6530249110320284,1.0
59150561,9.0,527.0,478.0,527.0,0.9070208728652751,1.0
59150562,5.0,544.0,412.0,544.0,0.7573529411764706,1.0
59150563,2.0,661.0,661.0,661.0,1.0,1.0
59150564,4.0,647.0,647.0,647.0,1.0,1.0
59150565,5.0,511.0,435.0,511.0,0.8512720156555773,1.0
59150566,1.0,563.0,0.0,563.0,0.0,1.0
59150567,2.0,517.0,286.0,517.0,0.5531914893617021,1.0
59150568,3.0,643.0,643.0,643.0,1.0,1.0
59150569,4.0,864.0,864.0,864.0,1.0,1.0
59150570,3.0,488.0,488.0,488.0,1.0,1.0
59150571,10.0,568.0,384.0,568.0,0.676056338028169,1.0
59150572,7.0,337.0,240.0,337.0,0.712166172106825,1.0
59150573,1.0,1310.0,1310.0,1310.0,1.0,1.0
59150575,5.0,563.0,563.0,563.0,1.0,1.0
59150577,3.0,811.0,811.0,811.0,1.0,1.0
59150578,6.0,504.0,298.0,504.0,0.5912698412698413,1.0
59150579,6.0,405.0,299.0,405.0,0.7382716049382716,1.0
59150580,7.0,506.0,433.0,506.0,0.8557312252964426,1.0
59150581,7.0,390.0,87.0,390.0,0.2230769230769231,1.0
59150582,8.0,537.0,0.0,537.0,0.0,1.0
59150583,6.0,593.0,202.0,593.0,0.3406408094435076,1.0
59150584,5.0,604.0,604.0,604.0,1.0,1.0
59150585,7.0,544.0,544.0,544.0,1.0,1.0
59150586,6.0,554.0,554.0,554.0,1.0,1.0
59150587,7.0,570.0,397.0,570.0,0.6964912280701754,1.0
59150588,9.0,581.0,110.0,581.0,0.18932874354561102,1.0
59150589,7.0,493.0,347.0,493.0,0.7038539553752535,1.0
59150590,7.0,552.0,552.0,552.0,1.0,1.0
59150591,8.0,642.0,243.0,642.0,0.37850467289719625,1.0
59150592,7.0,632.0,67.0,632.0,0.1060126582278481,1.0
59150593,6.0,589.0,0.0,589.0,0.0,1.0
59150594,5.0,426.0,186.0,426.0,0.43661971830985913,1.0
59150595,6.0,672.0,189.0,672.0,0.28125,1.0
59150596,5.0,489.0,373.0,489.0,0.7627811860940695,1.0
59150597,6.0,711.0,397.0,711.0,0.5583684950773559,1.0
59150598,6.0,557.0,557.0,557.0,1.0,1.0
59150599,3.0,597.0,241.0,597.0,0.4036850921273032,1.0
59150600,8.0,475.0,406.0,475.0,0.8547368421052631,1.0
59150601,5.0,768.0,768.0,768.0,1.0,1.0
59150602,4.0,427.0,427.0,427.0,1.0,1.0
59150603,5.0,403.0,403.0,403.0,1.0,1.0
59150604,4.0,621.0,621.0,621.0,1.0,1.0
59150605,5.0,486.0,486.0,486.0,1.0,1.0
59150606,5.0,701.0,442.0,701.0,0.630527817403709,1.0
59150607,5.0,836.0,836.0,836.0,1.0,1.0
59150608,4.0,566.0,566.0,566.0,1.0,1.0
59150609,3.0,532.0,368.0,532.0,0.6917293233082706,1.0
59150610,4.0,678.0,167.0,678.0,0.24631268436578171,1.0
59150611,6.0,689.0,210.0,689.0,0.3047895500725689,1.0
59150612,4.0,646.0,0.0,646.0,0.0,1.0
