DAUID,salience,satisfaction_sentiment,satisfaction_star,coverage_pct,n_reachable_parks,n_qualifying_parks
59150730,154.6185,0.6063,3.7,100.0,1,1
59150731,121.2121,0.7864,4.3,100.0,1,1
59150732,149.3124,0.7864,4.3,100.0,1,1
59150733,137.1841,0.7864,4.3,100.0,1,1
59150734,,,,,0,0
59150737,370.8333,0.6271,4.2,100.0,1,1
59150738,1077.551,0.6915,4.25,100.0,2,2
59150739,1844.2211,0.646,4.2,100.0,3,3
59150740,1554.0541,0.7344,4.2,100.0,3,3
59150741,1606.7864,0.7344,4.2,100.0,3,3
59150742,3231.1828,0.7167,4.225,100.0,4,4
59150743,729.1667,0.7237,4.15,100.0,2,2
59150744,1183.0986,0.7275,4.1333,100.0,3,3
59150745,363.9291,0.6123,4.0,100.0,2,2
59150746,190.1709,0.5654,4.2,100.0,1,1
59150747,1396.1219,0.7275,4.1333,100.0,3,3
59150748,2812.7341,0.7115,4.175,100.0,4,4
59150749,1769.8816,0.6304,4.05,100.0,2,2
59150750,1556.7376,0.6154,4.2667,100.0,3,3
59150751,3334.7458,0.6594,4.3857,100.0,7,7
59150752,4288.4013,0.6574,4.3667,100.0,3,3
59150753,5241.3793,0.6574,4.3667,100.0,3,3
59150754,1076.4588,0.6609,4.4,100.0,2,2
59150755,,,,,0,0
59150756,5720.9302,0.7166,4.45,100.0,2,2
59150757,720.1139,0.7489,4.5333,100.0,3,3
59150758,,,,,0,0
59150759,,,,,0,0
59150760,,,,,0,0
59150761,,,,,0,0
59150762,,,,,0,0
59150763,,,,,0,0
59150777,1768.6505,0.8163,4.5,100.0,3,3
59150779,3884.3212,0.8054,4.55,100.0,4,4
59150782,,,,,0,0
59150784,3936.6086,0.8587,4.7,100.0,1,1
59150785,7045.6693,0.7723,4.55,100.0,4,4
59150786,2472.9614,0.7571,4.525,100.0,4,4
59150787,5750.499,0.7571,4.525,100.0,4,4
59150788,5691.2378,0.7125,4.425,100.0,4,4
59150790,9088.7967,0.8528,4.6333,100.0,3,3
59150791,17491.8033,0.8332,4.6,100.0,2,2
59150792,11068.4647,0.8332,4.6,100.0,2,2
59150793,92.9978,0.8743,4.5,100.0,1,1
59150795,2335.2872,0.8166,4.6,100.0,1,1
59150816,5868.3473,0.7796,4.5,100.0,2,2
59150817,270.2079,0.4612,4.1,100.0,1,1
59150819,249.467,0.4612,4.1,100.0,1,1
59150820,219.9248,0.4612,4.1,100.0,1,1
59150821,429.7872,0.6678,4.3,100.0,2,2
59150822,286.7647,0.4612,4.1,100.0,1,1
59150823,4517.0068,0.8166,4.6,100.0,1,1
59150824,449.8886,0.6678,4.3,100.0,2,2
59150827,393.7622,0.6678,4.3,100.0,2,2
59150828,176.4706,0.4612,4.1,100.0,1,1
59150831,186.6029,0.4612,4.1,100.0,1,1
59150832,1724.3767,0.4601,4.05,100.0,2,2
59150837,244.0758,0.7425,4.4,100.0,1,1
59150840,245.8234,0.7425,4.4,100.0,1,1
59150841,239.5349,0.7425,4.4,100.0,1,1
59150845,158.2181,0.7425,4.4,100.0,1,1
59150846,128.9111,0.7425,4.4,100.0,1,1
59150850,26295.5065,0.7988,4.625,100.0,4,4
59150859,8914.6919,0.5439,4.1667,75.0,4,3
