park_id,playground,sports_fields,courts,trails,dog_offleash,water_play,beach_waterfront,picnic,washroom,community_garden,seating_shelter,n_reviews,park_name,area_ha,amenity_type_count
Vancouver_229,1,1,0,0,1,1,1,1,1,0,1,496,New Brighton Park,10.63416671398354,8
Vancouver_230,0,0,0,0,0,0,0,0,0,0,1,23,Street End - Wall St @ Nanaimo,0.0635514701101393,1
Vancouver_231,1,0,0,0,1,1,0,0,1,0,1,114,Burrard View Park,2.7687208169064066,5
Vancouver_232,0,0,0,0,0,0,0,0,0,0,1,8,Street End - Wall St @ Kamloops,0.1347307818652414,1
Vancouver_233,0,0,0,0,0,0,0,0,0,0,1,19,Street End - Wall St @ Penticton,0.1051722128786098,1
Vancouver_234,0,0,0,0,0,0,0,0,0,0,1,37,Dusty Greenwell Park,0.5327570996247257,1
Vancouver_235,0,0,0,0,0,0,0,0,0,0,0,8,Street End - Wall St @ Slocan,0.1172010408711535,0
Vancouver_24,1,0,0,0,0,0,0,0,1,0,1,29,Sparwood Park,3.6215774293843728,3
Vancouver_25,1,0,0,0,1,0,0,1,0,0,0,46,George Park,1.4383295480465623,3
Vancouver_26,0,0,0,0,0,0,0,0,0,0,0,9,Moberly Park,3.6072269694436567,0
Vancouver_27,0,0,0,0,0,0,0,0,0,0,0,1,Fraserview Park,1.274209015596828,0
Vancouver_28,1,1,0,0,0,1,0,0,1,0,0,118,Ross Park,1.5130434704659337,4
Vancouver_29,1,0,0,0,1,0,0,0,1,0,1,112,Sunset Park,7.131510010227392,4
Vancouver_30,1,1,1,0,0,0,0,0,1,0,1,160,Gordon Park,6.899491750809645,5
Vancouver_31,1,0,1,0,0,0,0,0,0,0,0,40,MacDonald Park,1.0552802047300989,2
Vancouver_32,1,0,0,0,0,0,0,0,0,0,0,65,Tecumseh Park,2.0973505400643364,1
Vancouver_33,1,1,1,0,0,0,0,1,1,0,1,608,Memorial South Park,13.785598534037284,6
Vancouver_34,1,1,0,1,0,0,0,1,1,0,1,140,Jones Park,1.42758141871929,6
Vancouver_35,1,1,0,0,0,0,0,0,1,0,0,161,Champlain Heights Park,7.865381544147954,3
Vancouver_36,0,0,0,0,0,0,0,0,0,0,0,2,Rosemont Park,1.3637005963012985,0
