DBUID,DAUID,db_pop,nearest_node,dist_nearest_entrance,reachable_400,reachable_800,snap_flag
59150439002,59150439,117,5910561994,11.7,1,1,0
59150439003,59150439,0,2969765344,17.6,1,1,0
59150439004,59150439,134,5910560117,123.3,1,1,0
59150439005,59150439,135,5910584667,57.3,1,1,0
59150440001,59150440,98,8584500015,402.1,0,1,0
59150440002,59150440,73,8584527026,322.3,1,1,0
59150440003,59150440,115,8533444752,237.5,1,1,0
59150440004,59150440,118,8533444781,234.8,1,1,0
59150440005,59150440,168,630971315,779.3,0,1,0
59150440006,59150440,110,8533444763,146.0,1,1,0
59150442001,59150442,143,631286348,283.2,1,1,0
59150442002,59150442,251,333386344,7.2,1,1,0
59150442003,59150442,59,5910584649,165.8,1,1,0
59150442004,59150442,215,631286175,321.2,1,1,0
59150443001,59150443,208,10104539314,356.0,1,1,0
59150443004,59150443,170,8533285660,219.0,1,1,0
59150443006,59150443,280,326159120,538.1,0,1,0
59150443007,59150443,132,3288840416,475.7,0,1,0
59150444001,59150444,111,631286287,114.2,1,1,0
59150444002,59150444,180,326150544,294.2,1,1,0
59150444003,59150444,177,3288797709,388.7,1,1,0
59150444004,59150444,138,8533285682,112.4,1,1,0
59150444005,59150444,131,8533285709,212.0,1,1,0
59150445001,59150445,163,12486985725,154.4,1,1,0
59150445002,59150445,146,8600625766,305.8,1,1,0
59150445003,59150445,86,3288797708,351.1,1,1,0
59150445004,59150445,238,8600625812,29.2,1,1,0
59150446001,59150446,75,8600625756,290.9,1,1,0
59150446002,59150446,66,8600620270,276.5,1,1,0
59150446003,59150446,52,10187621694,272.2,1,1,0
59150446004,59150446,220,631285972,95.2,1,1,0
59150446005,59150446,131,8600625747,178.8,1,1,0
59150447001,59150447,149,8600625726,350.7,1,1,0
59150447002,59150447,146,9324976641,428.7,0,1,0
59150447003,59150447,531,3998465700,582.7,0,1,0
59150448001,59150448,79,631285876,433.1,0,1,0
59150448002,59150448,97,631285779,549.8,0,1,0
59150448003,59150448,90,631285741,657.9,0,1,0
59150448007,59150448,402,631285595,722.7,0,1,0
59150449001,59150449,148,8616741000,437.5,0,1,0
59150449002,59150449,210,12545012268,723.9,0,1,0
59150449003,59150449,95,631285732,745.7,0,1,0
59150449004,59150449,97,631285651,,0,0,0
59150449005,59150449,94,631285527,735.7,0,1,0
59150449006,59150449,95,631285542,762.7,0,1,0
59150450001,59150450,187,630970560,597.8,0,1,0
59150450002,59150450,171,630970577,663.9,0,1,0
59150450003,59150450,269,8613169504,715.1,0,1,0
59150451001,59150451,184,8623629860,391.9,1,1,0
59150451002,59150451,99,630970480,559.5,0,1,0
59150451003,59150451,218,630969439,363.7,1,1,0
59150452001,59150452,126,8623629875,344.1,1,1,0
59150452003,59150452,110,8622840957,152.4,1,1,0
59150452004,59150452,57,630969466,256.7,1,1,0
59150452005,59150452,105,630969134,122.1,1,1,0
59150452006,59150452,22,11765217272,48.1,1,1,0
59150453001,59150453,175,8623629524,197.3,1,1,0
