park_id,AvgRating,TotalReviews,n_text_reviews,has_rating,park_name,area_ha
Vancouver_57,4.1,206.0,80.0,True,General Brock Park,2.163500758658856
Vancouver_58,4.1,71.0,23.0,True,Cariboo Park,0.7686569135310117
Vancouver_59,4.2,178.0,89.0,True,Renfrew Ravine Park,6.142911707986188
Vancouver_60,4.3,913.0,338.0,True,Renfrew Community Park,5.015662018149384
Vancouver_61,4.6,3865.0,1628.0,True,John Hendry (Trout Lake) Park,27.39301499480162
Vancouver_62,4.4,355.0,146.0,True,Beaconsfield Park,4.445567960476784
Vancouver_63,4.3,350.0,138.0,True,Falaise Park,7.589311685737394
Vancouver_64,4.2,89.0,40.0,True,Kaslo Park,0.4472390009223489
Vancouver_65,4.5,407.0,180.0,True,Sunrise Park,3.18610429517952
Vancouver_66,4.3,206.0,81.0,True,Garden Park,0.9699779331201226
Vancouver_67,4.1,52.0,16.0,True,Thunderbird Park,0.8950338277748151
Vancouver_68,4.4,478.0,204.0,True,Clinton Park,3.0522401919037216
Vancouver_69,4.5,307.0,133.0,True,Rupert Park,11.837228233496882
Vancouver_70,4.3,61.0,37.0,True,Charles Park,1.5422343147649853
Vancouver_71,4.3,100.0,35.0,True,Templeton Park,1.9329342746641145
Vancouver_72,4.3,197.0,64.0,True,Hastings Community Park,4.2008387179504165
Vancouver_73,4.3,316.0,139.0,True,Victoria Park,0.8905987372733684
Vancouver_74,4.5,3042.0,1159.0,True,Creekside Park,2.542944538408232
Vancouver_75,4.3,65.0,32.0,True,Mosaic Creek Park,0.1131386121750755
Vancouver_76,3.8,48.0,32.0,True,Thornton Park,1.4980376266211524
Vancouver_77,4.3,998.0,451.0,True,Grandview Park,0.8935237578660881
Vancouver_78,4.2,520.0,215.0,True,Trillium Park,2.983335770231069
Vancouver_79,4.0,839.0,418.0,True,Strathcona Park,10.101651413974784
Vancouver_80,4.1,49.0,25.0,True,Strathcona Linear Park,0.5047844091443482
Vancouver_81,4.2,84.0,41.0,True,Salsbury Park,0.2409914895208215
Vancouver_83,4.3,373.0,143.0,True,Adanac Park,4.183695111902693
Vancouver_85,4.3,94.0,46.0,True,Fraser River Trail Park,0.3998048901977025
Vancouver_86,4.1,87.0,43.0,True,Park Site On Shaughnessy Street,0.5625382674414603
Vancouver_87,4.1,149.0,55.0,True,Marpole Park,0.2696471659896872
Vancouver_88,4.3,115.0,49.0,True,Ebisu Park,0.4209045465718337
Vancouver_89,4.3,79.0,34.0,True,William Mackie Park,0.4088436410218878
Vancouver_90,4.0,104.0,42.0,True,Eburne Park,0.9008658787533704
Vancouver_91,4.3,210.0,98.0,True,Ash Park,0.5135351908077846
Vancouver_92,4.3,86.0,32.0,True,Shannon Park,0.943705706788886
Vancouver_93,4.3,477.0,193.0,True,Oak Park,5.266789260162897
Vancouver_94,4.3,672.0,269.0,True,Winona Park,5.32670002426377
Vancouver_95,4.5,941.0,469.0,True,Fraser River Park,9.070290784799784
Vancouver_96,4.3,121.0,43.0,True,Riverview Park,2.3844258541140406
Vancouver_97,4.3,35.0,11.0,True,Arbutus Park,0.7399464288958901
Vancouver_98,4.4,110.0,56.0,True,Deering Island Park,0.6383976311579238
Vancouver_99,4.5,458.0,211.0,True,Maple Grove Park,4.208258995151404
