DAUID,DGUID,LANDAREA,PRUID,db_count,db_pop_total,db_pop_reach_400,db_pop_reach_800,DA_reach_400,DA_reach_800,n_unique_parks,area_raw,area_cap20,area_cap10,qty_raw,qty_cap20,qty_cap10,reach_cat,qty_cat,supply_type,salience,satisfaction_sentiment,satisfaction_star,coverage_pct,n_reachable_parks,n_qualifying_parks,experience_hi,divergence_type,supply_binary,divergence_2x2,medhhinc,pop_total,pct_visible_minority,pct_age_65plus,pct_LIM_AT,pct_immigrant,pct_bachelor_plus,inc_LIM_AT,inc_totalpop,immigrant_immigrant,immigrant_totalpop,education_bachelor_plus,education_totalpop,ale16_08,inc_stratum,vm_stratum,age_stratum,limat_stratum,immigrant_stratum,edu_stratum,ale_stratum
59150352,2021S051259150352,0.0561,59,4.0,748.0,748.0,748.0,1.0,1.0,1,0.22,0.22,0.22,0.3,0.3,0.3,1,0,HL,,,,,0,0,0,HL_low_exp,0,LL,30600.0,748.0,43.2,40.8,58.1,54.1,30.0,305.0,525.0,395.0,730.0,210.0,700.0,220.0,Low income,Mid VM (20-50%),Older (>20% 65+),High poverty (>35%),High immigrant (>50%),Low education (<30%),High ALE
59150353,2021S051259150353,0.0416,59,3.0,495.0,495.0,495.0,1.0,1.0,1,0.22,0.22,0.22,0.4534,0.4534,0.4534,1,0,HL,,,,,0,0,0,HL_low_exp,0,LL,82000.0,495.0,36.8,14.1,20.4,26.6,39.5,55.0,270.0,125.0,470.0,170.0,430.0,227.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Mid poverty (20-35%),Low immigrant (<30%),Mid education (30-50%),High ALE
59150354,2021S051259150354,0.043,59,2.0,525.0,525.0,525.0,1.0,1.0,2,1.85,1.85,1.85,3.5306,3.5306,3.5306,1,0,HL,160.0,0.6523,4.2,100.0,1,1,0,HL_low_exp,0,LL,66000.0,525.0,27.6,12.4,23.8,23.8,46.1,75.0,315.0,145.0,610.0,265.0,575.0,222.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Mid poverty (20-35%),Low immigrant (<30%),Mid education (30-50%),High ALE
59150355,2021S051259150355,0.0275,59,1.0,531.0,0.0,531.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,LL,,,,,0,0,0,LL_low_exp,0,LL,56000.0,531.0,15.7,7.5,50.9,18.3,32.3,145.0,285.0,105.0,575.0,155.0,480.0,209.0,Middle income,Low VM (<20%),Young (<10% 65+),High poverty (>35%),Low immigrant (<30%),Mid education (30-50%),High ALE
59150356,2021S051259150356,0.0852,59,2.0,473.0,473.0,473.0,1.0,1.0,1,1.63,1.63,1.63,3.4443,3.4443,3.4443,1,0,HL,177.5899,0.6523,4.2,100.0,1,1,0,HL_low_exp,0,LL,90000.0,473.0,15.0,12.7,35.7,16.2,57.1,75.0,210.0,80.0,495.0,240.0,420.0,215.0,Middle income,Low VM (<20%),Mid age (10-20% 65+),High poverty (>35%),Low immigrant (<30%),High education (>50%),High ALE
59150357,2021S051259150357,0.0869,59,3.0,919.0,404.0,919.0,0.4396082698585419,1.0,1,0.45,0.45,0.45,0.4874,0.4874,0.4874,0,0,LL,1085.963,0.6634,4.3,100.0,1,1,0,LL_low_exp,0,LL,57600.0,919.0,31.5,10.3,30.2,26.9,34.3,160.0,530.0,245.0,910.0,285.0,830.0,187.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Mid poverty (20-35%),Low immigrant (<30%),Mid education (30-50%),High ALE
59150358,2021S051259150358,0.0868,59,3.0,512.0,261.0,512.0,0.509765625,1.0,1,1.63,1.63,1.63,3.182,3.182,3.182,0,0,LL,164.0625,0.6523,4.2,100.0,1,1,0,LL_low_exp,0,LL,106000.0,512.0,20.6,10.7,8.5,16.8,55.1,20.0,235.0,90.0,535.0,245.0,445.0,189.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Low poverty (<20%),Low immigrant (<30%),High education (>50%),High ALE
59150359,2021S051259150359,0.0422,59,2.0,482.0,482.0,482.0,1.0,1.0,3,2.58,2.58,2.58,5.3464,5.3464,5.3464,1,1,HH,3014.5228,0.7036,4.2,100.0,3,3,0,HH_low_exp,1,HL,63200.0,482.0,48.5,15.6,29.6,38.8,43.6,80.0,270.0,190.0,490.0,205.0,470.0,149.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Mid poverty (20-35%),Mid immigrant (30-50%),Mid education (30-50%),Mid ALE
59150360,2021S051259150360,0.0881,59,3.0,611.0,313.0,611.0,0.5122749590834698,1.0,1,0.45,0.45,0.45,0.7331,0.7331,0.7331,0,0,LL,1633.3879,0.6634,4.3,100.0,1,1,0,LL_low_exp,0,LL,63200.0,611.0,39.7,14.7,30.3,30.7,37.9,100.0,330.0,195.0,635.0,220.0,580.0,162.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Mid poverty (20-35%),Mid immigrant (30-50%),Mid education (30-50%),Mid ALE
59150361,2021S051259150361,0.0561,59,2.0,488.0,488.0,488.0,1.0,1.0,2,4.75,4.75,4.75,9.7265,9.7265,9.7265,1,1,HH,2762.2951,0.7096,4.3,100.0,2,2,1,HH_high_exp,1,HH,93000.0,488.0,40.7,11.3,17.1,36.4,34.3,35.0,205.0,215.0,590.0,180.0,525.0,150.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Low poverty (<20%),Mid immigrant (30-50%),Mid education (30-50%),Mid ALE
59150362,2021S051259150362,0.056,59,2.0,397.0,397.0,397.0,1.0,1.0,2,31.69,24.3,14.3,79.8278,61.2056,36.0167,1,1,HH,3181.3602,0.7586,4.3,100.0,2,2,1,HH_high_exp,1,HH,99000.0,397.0,58.2,15.1,18.8,50.5,34.9,30.0,160.0,230.0,455.0,145.0,415.0,146.0,Middle income,High VM (>50%),Mid age (10-20% 65+),Low poverty (<20%),High immigrant (>50%),Mid education (30-50%),Mid ALE
59150363,2021S051259150363,0.0971,59,3.0,515.0,515.0,515.0,1.0,1.0,1,4.3,4.3,4.3,8.3469,8.3469,8.3469,1,1,HH,679.6117,0.7559,4.3,100.0,1,1,1,HH_high_exp,1,HH,99000.0,515.0,38.1,11.7,19.5,24.0,54.9,40.0,205.0,115.0,480.0,225.0,410.0,159.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Low poverty (<20%),Low immigrant (<30%),High education (>50%),Mid ALE
59150364,2021S051259150364,0.0578,59,2.0,433.0,433.0,433.0,1.0,1.0,2,31.69,24.3,14.3,73.1909,56.1169,33.0223,1,1,HH,2916.8591,0.7586,4.3,100.0,2,2,1,HH_high_exp,1,HH,104000.0,433.0,45.7,11.5,19.4,34.4,38.5,35.0,180.0,160.0,465.0,150.0,390.0,125.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Low poverty (<20%),Mid immigrant (30-50%),Mid education (30-50%),Mid ALE
59150365,2021S051259150365,0.0675,59,4.0,345.0,345.0,345.0,1.0,1.0,2,31.69,24.3,14.3,91.8599,70.4308,41.4453,1,1,HH,3660.8696,0.7586,4.3,100.0,2,2,1,HH_high_exp,1,HH,100000.0,345.0,38.6,11.6,13.8,28.9,43.5,20.0,145.0,120.0,415.0,150.0,345.0,141.0,Middle income,Mid VM (20-50%),Mid age (10-20% 65+),Low poverty (<20%),Low immigrant (<30%),Mid education (30-50%),Mid ALE
